Id,Label,timeset,att1,att2,att3,isometric_z_value,splitter_z_value,eigencentrality,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,modularity_class
164,Proteobacteria,,1116508063ed17034ea58680ad6ffa88,Proteobacteria,M1,0,0,0.207925,32,25.028914,9,0.298161,0.383887,7969.474485,1,0.33871,168,21
165,Crenarchaeota,,1512d7068971c43ebf6af548aeb37c81,Crenarchaeota,M2,0,0,0.685369,36,27.757486,9,0.27029,0.362388,398.53646,1,0.646032,407,14
166,Crenarchaeota,,e6904f9fcb1932801e87403f79794891,Crenarchaeota,M27,0,0,0.000347,1,0.75837,1,1,1,0,16,0,0,3
167,Actinobacteriota,,4d7b299e649bda8829bc6ea0af949dac,Actinobacteriota,M4,0,0,0.022794,14,10.719634,11,0.200107,0.247752,96.693741,1,0.626374,57,29
168,Crenarchaeota,,2a38855ee629ffeb4ac8cb985b88762c,Crenarchaeota,M1,0,0,0.336877,31,24.637613,11,0.223353,0.314336,246.111341,1,0.711828,331,16
169,Patescibacteria,,0e8785e07b5204d7d13f4a23c98e3a1a,Patescibacteria,M5,0,0,0.003912,7,5.880468,5,0.34375,0.513636,48,2,0.52381,11,10
170,Nitrospirota,,aaed3f4519a7cd676c0d48e3d1a44019,Nitrospirota,M31,0,0,0.000347,1,0.789009,1,1,1,0,12,0,0,4
171,Thermoplasmatota,,5e38e9bc5b5f78cffe99fef5e369a1a8,Thermoplasmatota,M3,0,0,0.007353,2,1.538657,8,0.230247,0.259805,0,1,1,1,24
172,Crenarchaeota,,d04b66277553d8b400b5081c871e18bb,Crenarchaeota,M2,0,0,0.213652,11,8.211963,10,0.230105,0.296115,745.548548,1,0.727273,40,14
173,Crenarchaeota,,f5f1b222a935284170147e7be0620df7,Crenarchaeota,M2,0,0,0.200982,14,10.68414,11,0.197878,0.265077,9.778271,1,0.912088,83,14
174,Desulfobacterota,,7368c461d5ba8879e2aeb6254d081268,Desulfobacterota,M1,0,0,0.001787,1,0.720737,14,0.139283,0.169863,0,1,0,0,16
175,Nanoarchaeota,,b6eab81e0d5bf510d3dcf37ad3aa5714,Nanoarchaeota,M15,0,0,0.001248,3,2.396631,1,1,1,0.5,5,0.666667,2,35
176,Proteobacteria,,8c43312d31267e68264bd38856ea0cef,Proteobacteria,M30,0,0,0.000347,1,0.784918,1,1,1,0,21,0,0,25
177,Crenarchaeota,,5219ed57718a848f18ab18e57d01cea2,Crenarchaeota,M2,0,0,0.30084,17,12.748902,10,0.232399,0.304081,37.011245,1,0.661765,90,14
178,Proteobacteria,,f618d85097b4cd27987d1c86bf01d596,Proteobacteria,M2,0,0,0.193751,18,14.05915,11,0.198721,0.272227,61.362591,1,0.640523,98,14
179,Patescibacteria,,8e7ee74c557559cb78299467321254ba,Patescibacteria,M5,0,0,0.000585,1,0.744601,7,0.217822,0.291883,0,2,0,0,10
180,Asgardarchaeota,,2ecf706afb85fa824e955d91fcd5f16a,Asgardarchaeota,M3,0,0,0.000399,1,0.742333,11,0.127174,0.134551,0,1,0,0,24
181,Crenarchaeota,,75c7fec5584f99f9f8dcf26edc11fce7,Crenarchaeota,M2,0,0,0.698611,41,32.518291,10,0.23758,0.344059,364.161947,1,0.570732,468,14
182,Planctomycetota,,f3648de7cc5a5ecccca9a86453d6904d,Planctomycetota,M1,0,0,0.017031,4,2.947741,10,0.234296,0.275548,1597.471427,1,0.5,3,21
183,Planctomycetota,,bfb7f7f9b28603df59d2df5dbfbf4dd1,Planctomycetota,M1,0,0,0.095701,9,6.702887,11,0.211212,0.267116,18.034115,1,0.75,27,16
184,Thermoplasmatota,,e5268a2f7773db6cdc94ccff54b2f647,Thermoplasmatota,M32,0,0,0.000347,1,0.80108,1,1,1,0,15,0,0,7
185,Crenarchaeota,,5fa3f51ac52d923e1384f2e05cda62eb,Crenarchaeota,M1,0,0,0.111644,15,11.437682,9,0.277117,0.335584,28.382378,1,0.828571,87,21
186,Proteobacteria,,72bab3a952346a307af9df35eec933a9,Proteobacteria,M3,0,0,0.053959,4,2.952518,8,0.252027,0.299844,1102.604624,1,0.333333,2,24
187,Crenarchaeota,,dde3683b54d52abb82bf9a1e0cdee2b6,Crenarchaeota,M2,0,0,0.163335,10,7.542095,10,0.22565,0.28602,6.371018,1,0.777778,35,14
188,Patescibacteria,,ca79e591b19f6a68e42f6cacb40ccd11,Patescibacteria,M3,0,0,0.005703,7,5.238878,8,0.219154,0.252834,10008.272455,1,0.333333,7,24
189,Aerophobota,,aef0c7974d70fbb9de314ad130b4c1cb,Aerophobota,M1,0,0,0.017734,11,8.745823,13,0.160915,0.215126,77.846555,1,0.436364,24,16
190,Patescibacteria,,d0ea88f1c939c2a98d51e0497fdc62b6,Patescibacteria,M17,0,0,0.00039,1,0.820351,2,0.666667,0.75,0,22,0,0,19
191,Nanoarchaeota,,70f77649f6623d6ab759a9f6fc919e3e,Nanoarchaeota,M5,0,0,0.002247,4,3.059418,5,0.366667,0.471212,23.666667,2,0.5,3,10
192,Desulfobacterota,,fb725a018458963ac9fa4749606c0970,Desulfobacterota,M4,0,0,0.001436,1,0.740802,13,0.156525,0.17933,0,1,0,0,29
193,Caldatribacteriota,,2b829140964059a1a845e16435a5963d,Caldatribacteriota,M24,0,0,0.000347,1,0.746076,1,1,1,0,23,0,0,17
194,Crenarchaeota,,e89e0853799e9ab476dca71bf9e65690,Crenarchaeota,M2,0,0,0.624913,34,25.814219,9,0.270682,0.361271,1629.314747,1,0.568627,319,14
195,Patescibacteria,,d7630626f437b5a2739b8b69128a156c,Patescibacteria,M21,0,0,0.000347,1,0.740383,1,1,1,0,0,0,0,8
196,Aerophobota,,71dd3336a1c58cad40696a26ae08cde3,Aerophobota,M1,0,0,0.025808,16,12.883994,13,0.161752,0.224107,490.962871,1,0.366667,44,16
197,Crenarchaeota,,05bfe1650dcb1c6981f762ac42694276,Crenarchaeota,M2,0,0,0.408117,30,23.619874,10,0.222156,0.317549,783.647957,1,0.588506,256,14
198,NB1-j,,c3a12b67db7710e08fcada56c7637e9b,NB1-j,M9,0,0,0.001251,3,2.294287,3,0.6,0.722222,5,19,0.333333,1,32
199,Crenarchaeota,,fe9f04a1b52a6fdf53ed509633249d31,Crenarchaeota,M2,0,0,0.066223,4,2.982146,10,0.22176,0.268501,0.204104,1,0.666667,4,14
200,Thermoplasmatota,,3aecaa8ec143f4b062e6fef8e6d4870a,Thermoplasmatota,M1,0,0,0.324006,29,22.638682,11,0.231103,0.319442,192.774797,1,0.736453,299,16
201,Crenarchaeota,,01ea7039d3bef12a27c0ed6bb324e610,Crenarchaeota,M2,0,0,0.506797,27,20.897869,9,0.251687,0.332559,44.428015,1,0.749288,263,14
202,Nitrospirota,,78046c7ad4ad523797f0aa3fad86ee33,Nitrospirota,M8,0,0,0.053954,12,9.058415,11,0.195903,0.257392,1419.834999,1,0.257576,17,31
203,Asgardarchaeota,,51f1b2ebc2c266e9dbce1d15bda82bcc,Asgardarchaeota,M3,0,0,0.002235,2,1.551879,8,0.202938,0.223123,0,1,1,1,24
204,Hydrothermarchaeota,,dca5a522823934f6d09230e5de6f3384,Hydrothermarchaeota,M10,0,0,0.000483,1,0.744604,2,0.571429,0.625,0,10,0,0,30
205,Nanoarchaeota,,35d06b102f7410ddc93ad09dcc0eee21,Nanoarchaeota,M23,0,0,0.000347,1,0.743949,1,1,1,0,17,0,0,9
206,Crenarchaeota,,f37a663f30c65c17d30f8b6cb699b52a,Crenarchaeota,M2,0,0,0.18856,11,8.387115,10,0.226472,0.288385,0.563251,1,0.945455,52,14
207,Desulfobacterota,,832412ea1e5355cc63ba9c96f51cee83,Desulfobacterota,M4,0,0,0.003904,2,1.599689,12,0.175695,0.205262,0,1,1,1,29
